province,region,food,search_query,output_relpath
北京市,不分区,北京烤鸭,北京烤鸭 高清实拍 中国美食,中国34省真实图库/北京市/不分区/北京烤鸭.jpg
北京市,不分区,炸酱面,炸酱面 高清实拍 中国美食,中国34省真实图库/北京市/不分区/炸酱面.jpg
北京市,不分区,卤煮,卤煮 高清实拍 中国美食,中国34省真实图库/北京市/不分区/卤煮.jpg
天津市,不分区,煎饼果子,煎饼果子 高清实拍 中国美食,中国34省真实图库/天津市/不分区/煎饼果子.jpg
天津市,不分区,狗不理包子,狗不理包子 高清实拍 中国美食,中国34省真实图库/天津市/不分区/狗不理包子.jpg
天津市,不分区,耳朵眼炸糕,耳朵眼炸糕 高清实拍 中国美食,中国34省真实图库/天津市/不分区/耳朵眼炸糕.jpg
上海市,不分区,生煎包,生煎包 高清实拍 中国美食,中国34省真实图库/上海市/不分区/生煎包.jpg
上海市,不分区,小笼包,小笼包 高清实拍 中国美食,中国34省真实图库/上海市/不分区/小笼包.jpg
上海市,不分区,排骨年糕,排骨年糕 高清实拍 中国美食,中国34省真实图库/上海市/不分区/排骨年糕.jpg
重庆市,不分区,重庆火锅,重庆火锅 高清实拍 中国美食,中国34省真实图库/重庆市/不分区/重庆火锅.jpg
重庆市,不分区,重庆小面,重庆小面 高清实拍 中国美食,中国34省真实图库/重庆市/不分区/重庆小面.jpg
重庆市,不分区,酸辣粉,酸辣粉 高清实拍 中国美食,中国34省真实图库/重庆市/不分区/酸辣粉.jpg
河北省,冀北,莜面,莜面 高清实拍 中国美食,中国34省真实图库/河北省/冀北/莜面.jpg
河北省,冀北,坝上烤羊,坝上烤羊 高清实拍 中国美食,中国34省真实图库/河北省/冀北/坝上烤羊.jpg
河北省,冀北,口蘑,口蘑 高清实拍 中国美食,中国34省真实图库/河北省/冀北/口蘑.jpg
河北省,冀东,唐山麻糖,唐山麻糖 高清实拍 中国美食,中国34省真实图库/河北省/冀东/唐山麻糖.jpg
河北省,冀东,棋子烧饼,棋子烧饼 高清实拍 中国美食,中国34省真实图库/河北省/冀东/棋子烧饼.jpg
河北省,冀东,海鲜锅贴,海鲜锅贴 高清实拍 中国美食,中国34省真实图库/河北省/冀东/海鲜锅贴.jpg
河北省,冀中,驴肉火烧,驴肉火烧 高清实拍 中国美食,中国34省真实图库/河北省/冀中/驴肉火烧.jpg
河北省,冀中,缸炉烧饼,缸炉烧饼 高清实拍 中国美食,中国34省真实图库/河北省/冀中/缸炉烧饼.jpg
河北省,冀中,牛肉罩饼,牛肉罩饼 高清实拍 中国美食,中国34省真实图库/河北省/冀中/牛肉罩饼.jpg
河北省,冀南,道口烧鸡,道口烧鸡 高清实拍 中国美食,中国34省真实图库/河北省/冀南/道口烧鸡.jpg
河北省,冀南,武安拽面,武安拽面 高清实拍 中国美食,中国34省真实图库/河北省/冀南/武安拽面.jpg
河北省,冀南,邢台焖饼,邢台焖饼 高清实拍 中国美食,中国34省真实图库/河北省/冀南/邢台焖饼.jpg
山西省,晋北,刀削面,刀削面 高清实拍 中国美食,中国34省真实图库/山西省/晋北/刀削面.jpg
山西省,晋北,羊杂,羊杂 高清实拍 中国美食,中国34省真实图库/山西省/晋北/羊杂.jpg
山西省,晋北,浑源凉粉,浑源凉粉 高清实拍 中国美食,中国34省真实图库/山西省/晋北/浑源凉粉.jpg
山西省,晋中,平遥牛肉,平遥牛肉 高清实拍 中国美食,中国34省真实图库/山西省/晋中/平遥牛肉.jpg
山西省,晋中,过油肉,过油肉 高清实拍 中国美食,中国34省真实图库/山西省/晋中/过油肉.jpg
山西省,晋中,猫耳朵,猫耳朵 高清实拍 中国美食,中国34省真实图库/山西省/晋中/猫耳朵.jpg
山西省,晋东南,长治腊驴肉,长治腊驴肉 高清实拍 中国美食,中国34省真实图库/山西省/晋东南/长治腊驴肉.jpg
山西省,晋东南,壶关羊汤,壶关羊汤 高清实拍 中国美食,中国34省真实图库/山西省/晋东南/壶关羊汤.jpg
山西省,晋南,运城大盘鸡,运城大盘鸡 高清实拍 中国美食,中国34省真实图库/山西省/晋南/运城大盘鸡.jpg
山西省,晋南,临汾牛肉丸子面,临汾牛肉丸子面 高清实拍 中国美食,中国34省真实图库/山西省/晋南/临汾牛肉丸子面.jpg
山西省,晋南,闻喜煮饼,闻喜煮饼 高清实拍 中国美食,中国34省真实图库/山西省/晋南/闻喜煮饼.jpg
辽宁省,辽中南,锅包肉,锅包肉 高清实拍 中国美食,中国34省真实图库/辽宁省/辽中南/锅包肉.jpg
辽宁省,辽中南,海鲜焖子,海鲜焖子 高清实拍 中国美食,中国34省真实图库/辽宁省/辽中南/海鲜焖子.jpg
辽宁省,辽中南,老边饺子,老边饺子 高清实拍 中国美食,中国34省真实图库/辽宁省/辽中南/老边饺子.jpg
辽宁省,辽东,丹东黄蚬子,丹东黄蚬子 高清实拍 中国美食,中国34省真实图库/辽宁省/辽东/丹东黄蚬子.jpg
辽宁省,辽东,朝鲜冷面,朝鲜冷面 高清实拍 中国美食,中国34省真实图库/辽宁省/辽东/朝鲜冷面.jpg
辽宁省,辽西,锦州烧烤,锦州烧烤 高清实拍 中国美食,中国34省真实图库/辽宁省/辽西/锦州烧烤.jpg
辽宁省,辽西,沟帮子熏鸡,沟帮子熏鸡 高清实拍 中国美食,中国34省真实图库/辽宁省/辽西/沟帮子熏鸡.jpg
