province,region,food,search_query,output_relpath
???,??,??????,?????? ?? ??,??34?????/???/??/??????.jpg
???,??,??????,??? ??? ???,??34?????/???/??/??????.jpg
???,??,??????,Chinese hairy crab dish,??34?????/???/??/??????.jpg
???,??,??????,??? ? ?? ??,??34?????/???/??/??????.jpg
???,??,??????,??? ?? ??,??34?????/???/??/??????.jpg
???,??,??,???? ?? ??,??34?????/???/??/??.jpg
???,??,??,???? ?? ??,??34?????/???/??/??.jpg
???,??,??,doupi wuhan food,??34?????/???/??/??.jpg
???,??,??,?? ?? ?? ??,??34?????/???/??/??.jpg
???,??,??,?? ?? ?? ???,??34?????/???/??/??.jpg
???,??,?????,????? ??,??34?????/???/??/?????.jpg
???,??,?????,?? ???? ???,??34?????/???/??/?????.jpg
???,??,?????,changde beef rice noodles,??34?????/???/??/?????.jpg
???,??,?????,??? ?? ?? ??,??34?????/???/??/?????.jpg
???,??,?????,?? ?? ???,??34?????/???/??/?????.jpg
???,??,???,??? ??,??34?????/???/??/???.jpg
???,??,???,?? ??? ??,??34?????/???/??/???.jpg
???,??,???,hainan rice noodle dish,??34?????/???/??/???.jpg
???,??,???,?? ? ?? ???,??34?????/???/??/???.jpg
???,??,???,?????? ??? ??,??34?????/???/??/???.jpg
???,??,???,??? ??? ??,??34?????/???/??/???.jpg
???,??,???,?? ??? ???,??34?????/???/??/???.jpg
???,??,???,wenchang chicken hainan dish,??34?????/???/??/???.jpg
???,??,???,????? ?? ??,??34?????/???/??/???.jpg
???,??,???,??? ?? ??,??34?????/???/??/???.jpg
