province,region,food,search_query,output_relpath
江苏省,苏南,阳澄湖大闸蟹,阳澄湖大闸蟹 高清实拍 中国美食,中国34省真实图库/江苏省/苏南/阳澄湖大闸蟹.jpg
江苏省,苏南,阳澄湖大闸蟹,江苏省 阳澄湖大闸蟹 美食 实拍,中国34省真实图库/江苏省/苏南/阳澄湖大闸蟹.jpg
江苏省,苏南,阳澄湖大闸蟹,阳澄湖大闸蟹 菜品 成品图,中国34省真实图库/江苏省/苏南/阳澄湖大闸蟹.jpg
江苏省,苏南,阳澄湖大闸蟹,阳澄湖大闸蟹 高清 特写,中国34省真实图库/江苏省/苏南/阳澄湖大闸蟹.jpg
江苏省,苏南,阳澄湖大闸蟹,阳澄湖大闸蟹 chinese food dish photo,中国34省真实图库/江苏省/苏南/阳澄湖大闸蟹.jpg
湖北省,鄂中,豆皮,豆皮 高清实拍 中国美食,中国34省真实图库/湖北省/鄂中/豆皮.jpg
湖北省,鄂中,豆皮,湖北省 豆皮 美食 实拍,中国34省真实图库/湖北省/鄂中/豆皮.jpg
湖北省,鄂中,豆皮,豆皮 菜品 成品图,中国34省真实图库/湖北省/鄂中/豆皮.jpg
湖北省,鄂中,豆皮,豆皮 高清 特写,中国34省真实图库/湖北省/鄂中/豆皮.jpg
湖北省,鄂中,豆皮,豆皮 chinese food dish photo,中国34省真实图库/湖北省/鄂中/豆皮.jpg
湖南省,湘北,常德牛肉粉,常德牛肉粉 高清实拍 中国美食,中国34省真实图库/湖南省/湘北/常德牛肉粉.jpg
湖南省,湘北,常德牛肉粉,湖南省 常德牛肉粉 美食 实拍,中国34省真实图库/湖南省/湘北/常德牛肉粉.jpg
湖南省,湘北,常德牛肉粉,常德牛肉粉 菜品 成品图,中国34省真实图库/湖南省/湘北/常德牛肉粉.jpg
湖南省,湘北,常德牛肉粉,常德牛肉粉 高清 特写,中国34省真实图库/湖南省/湘北/常德牛肉粉.jpg
湖南省,湘北,常德牛肉粉,常德牛肉粉 chinese food dish photo,中国34省真实图库/湖南省/湘北/常德牛肉粉.jpg
海南省,琼北,海南粉,海南粉 高清实拍 中国美食,中国34省真实图库/海南省/琼北/海南粉.jpg
海南省,琼北,海南粉,海南省 海南粉 美食 实拍,中国34省真实图库/海南省/琼北/海南粉.jpg
海南省,琼北,海南粉,海南粉 菜品 成品图,中国34省真实图库/海南省/琼北/海南粉.jpg
海南省,琼北,海南粉,海南粉 高清 特写,中国34省真实图库/海南省/琼北/海南粉.jpg
海南省,琼北,海南粉,海南粉 chinese food dish photo,中国34省真实图库/海南省/琼北/海南粉.jpg
海南省,琼南,文昌鸡,文昌鸡 高清实拍 中国美食,中国34省真实图库/海南省/琼南/文昌鸡.jpg
海南省,琼南,文昌鸡,海南省 文昌鸡 美食 实拍,中国34省真实图库/海南省/琼南/文昌鸡.jpg
海南省,琼南,文昌鸡,文昌鸡 菜品 成品图,中国34省真实图库/海南省/琼南/文昌鸡.jpg
海南省,琼南,文昌鸡,文昌鸡 高清 特写,中国34省真实图库/海南省/琼南/文昌鸡.jpg
海南省,琼南,文昌鸡,文昌鸡 chinese food dish photo,中国34省真实图库/海南省/琼南/文昌鸡.jpg
