province,region,food,search_query,output_relpath
北京市,不分区,卤煮,卤煮 ???? ????,中国34省真实图库/北京市/不分区/卤煮.jpg
北京市,不分区,卤煮,北京市 卤煮 ?? ??,中国34省真实图库/北京市/不分区/卤煮.jpg
北京市,不分区,卤煮,卤煮 ?? ??,中国34省真实图库/北京市/不分区/卤煮.jpg
北京市,不分区,卤煮,卤煮 ???,中国34省真实图库/北京市/不分区/卤煮.jpg
北京市,不分区,卤煮,卤煮 ?? ??,中国34省真实图库/北京市/不分区/卤煮.jpg
上海市,不分区,小笼包,小笼包 ???? ????,中国34省真实图库/上海市/不分区/小笼包.jpg
上海市,不分区,小笼包,上海市 小笼包 ?? ??,中国34省真实图库/上海市/不分区/小笼包.jpg
上海市,不分区,小笼包,小笼包 ?? ??,中国34省真实图库/上海市/不分区/小笼包.jpg
上海市,不分区,小笼包,小笼包 ???,中国34省真实图库/上海市/不分区/小笼包.jpg
上海市,不分区,小笼包,小笼包 ?? ??,中国34省真实图库/上海市/不分区/小笼包.jpg
河北省,冀北,口蘑,口蘑 ???? ????,中国34省真实图库/河北省/冀北/口蘑.jpg
河北省,冀北,口蘑,河北省 口蘑 ?? ??,中国34省真实图库/河北省/冀北/口蘑.jpg
河北省,冀北,口蘑,口蘑 ?? ??,中国34省真实图库/河北省/冀北/口蘑.jpg
河北省,冀北,口蘑,口蘑 ???,中国34省真实图库/河北省/冀北/口蘑.jpg
河北省,冀北,口蘑,口蘑 ?? ??,中国34省真实图库/河北省/冀北/口蘑.jpg
河北省,冀东,棋子烧饼,棋子烧饼 ???? ????,中国34省真实图库/河北省/冀东/棋子烧饼.jpg
河北省,冀东,棋子烧饼,河北省 棋子烧饼 ?? ??,中国34省真实图库/河北省/冀东/棋子烧饼.jpg
河北省,冀东,棋子烧饼,棋子烧饼 ?? ??,中国34省真实图库/河北省/冀东/棋子烧饼.jpg
河北省,冀东,棋子烧饼,棋子烧饼 ???,中国34省真实图库/河北省/冀东/棋子烧饼.jpg
河北省,冀东,棋子烧饼,棋子烧饼 ?? ??,中国34省真实图库/河北省/冀东/棋子烧饼.jpg
河北省,冀南,道口烧鸡,道口烧鸡 ???? ????,中国34省真实图库/河北省/冀南/道口烧鸡.jpg
河北省,冀南,道口烧鸡,河北省 道口烧鸡 ?? ??,中国34省真实图库/河北省/冀南/道口烧鸡.jpg
河北省,冀南,道口烧鸡,道口烧鸡 ?? ??,中国34省真实图库/河北省/冀南/道口烧鸡.jpg
河北省,冀南,道口烧鸡,道口烧鸡 ???,中国34省真实图库/河北省/冀南/道口烧鸡.jpg
河北省,冀南,道口烧鸡,道口烧鸡 ?? ??,中国34省真实图库/河北省/冀南/道口烧鸡.jpg
山西省,晋中,平遥牛肉,平遥牛肉 ???? ????,中国34省真实图库/山西省/晋中/平遥牛肉.jpg
山西省,晋中,平遥牛肉,山西省 平遥牛肉 ?? ??,中国34省真实图库/山西省/晋中/平遥牛肉.jpg
